sample	samples	B:mutation
TCGA-A6-4105-01	TCGA-A6-4105-01	true
TCGA-A6-5657-01	TCGA-A6-5657-01	true
TCGA-A6-5659-01	TCGA-A6-5659-01	true
TCGA-A6-5662-01	TCGA-A6-5662-01	true
TCGA-A6-5664-01	TCGA-A6-5664-01	true
TCGA-A6-5666-01	TCGA-A6-5666-01	true
TCGA-A6-6138-01	TCGA-A6-6138-01	true
TCGA-A6-6141-01	TCGA-A6-6141-01	true
TCGA-A6-6650-01	TCGA-A6-6650-01	true
TCGA-A6-6653-01	TCGA-A6-6653-01	true
TCGA-A6-6654-01	TCGA-A6-6654-01	true
TCGA-AA-3502-01	TCGA-AA-3502-01	true
TCGA-AA-3511-01	TCGA-AA-3511-01	true
TCGA-AA-3655-01	TCGA-AA-3655-01	true
TCGA-AA-3660-01	TCGA-AA-3660-01	true
TCGA-AA-3663-01	TCGA-AA-3663-01	true
TCGA-AD-5900-01	TCGA-AD-5900-01	true
TCGA-AD-6548-01	TCGA-AD-6548-01	true
TCGA-AD-6895-01	TCGA-AD-6895-01	true
TCGA-AD-6901-01	TCGA-AD-6901-01	true
TCGA-AD-6964-01	TCGA-AD-6964-01	true
TCGA-AD-6965-01	TCGA-AD-6965-01	true
TCGA-AM-5821-01	TCGA-AM-5821-01	true
TCGA-AY-5543-01	TCGA-AY-5543-01	true
TCGA-AY-6386-01	TCGA-AY-6386-01	true
TCGA-AZ-4315-01	TCGA-AZ-4315-01	true
TCGA-AZ-4616-01	TCGA-AZ-4616-01	true
TCGA-AZ-5407-01	TCGA-AZ-5407-01	true
TCGA-AZ-6599-01	TCGA-AZ-6599-01	true
TCGA-AZ-6600-01	TCGA-AZ-6600-01	true
TCGA-AZ-6601-01	TCGA-AZ-6601-01	true
TCGA-CA-5796-01	TCGA-CA-5796-01	true
TCGA-CA-6716-01	TCGA-CA-6716-01	true
TCGA-CA-6718-01	TCGA-CA-6718-01	true
TCGA-CK-4947-01	TCGA-CK-4947-01	true
TCGA-CK-4948-01	TCGA-CK-4948-01	true
TCGA-CK-4950-01	TCGA-CK-4950-01	true
TCGA-CM-4744-01	TCGA-CM-4744-01	true
TCGA-CM-4747-01	TCGA-CM-4747-01	true
TCGA-CM-5863-01	TCGA-CM-5863-01	true
TCGA-CM-6164-01	TCGA-CM-6164-01	true
TCGA-CM-6166-01	TCGA-CM-6166-01	true
TCGA-CM-6168-01	TCGA-CM-6168-01	true
TCGA-CM-6674-01	TCGA-CM-6674-01	true
TCGA-CM-6678-01	TCGA-CM-6678-01	true
TCGA-D5-5537-01	TCGA-D5-5537-01	true
TCGA-D5-5538-01	TCGA-D5-5538-01	true
TCGA-D5-5539-01	TCGA-D5-5539-01	true
TCGA-D5-5540-01	TCGA-D5-5540-01	true
TCGA-D5-6529-01	TCGA-D5-6529-01	true
TCGA-D5-6531-01	TCGA-D5-6531-01	true
TCGA-D5-6532-01	TCGA-D5-6532-01	true
TCGA-D5-6535-01	TCGA-D5-6535-01	true
TCGA-D5-6536-01	TCGA-D5-6536-01	true
TCGA-D5-6537-01	TCGA-D5-6537-01	true
TCGA-D5-6538-01	TCGA-D5-6538-01	true
TCGA-D5-6539-01	TCGA-D5-6539-01	true
TCGA-D5-6541-01	TCGA-D5-6541-01	true
TCGA-D5-6927-01	TCGA-D5-6927-01	true
TCGA-D5-6931-01	TCGA-D5-6931-01	true
TCGA-D5-6932-01	TCGA-D5-6932-01	true
TCGA-D5-7000-01	TCGA-D5-7000-01	true
TCGA-DM-A0X9-01	TCGA-DM-A0X9-01	true
TCGA-DM-A0XD-01	TCGA-DM-A0XD-01	true
TCGA-DM-A1D0-01	TCGA-DM-A1D0-01	true
TCGA-DM-A1D4-01	TCGA-DM-A1D4-01	true
TCGA-DM-A1D6-01	TCGA-DM-A1D6-01	true
TCGA-DM-A1D7-01	TCGA-DM-A1D7-01	true
TCGA-DM-A1D8-01	TCGA-DM-A1D8-01	true
TCGA-DM-A1D9-01	TCGA-DM-A1D9-01	true
TCGA-DM-A1HA-01	TCGA-DM-A1HA-01	true
TCGA-DM-A282-01	TCGA-DM-A282-01	true
TCGA-DM-A285-01	TCGA-DM-A285-01	true
TCGA-DM-A28G-01	TCGA-DM-A28G-01	true
TCGA-DM-A28K-01	TCGA-DM-A28K-01	true
TCGA-DM-A28M-01	TCGA-DM-A28M-01	true
TCGA-F4-6461-01	TCGA-F4-6461-01	true
TCGA-F4-6703-01	TCGA-F4-6703-01	true
TCGA-F4-6805-01	TCGA-F4-6805-01	true
TCGA-F4-6806-01	TCGA-F4-6806-01	true
TCGA-F4-6807-01	TCGA-F4-6807-01	true
TCGA-F4-6854-01	TCGA-F4-6854-01	true
TCGA-F4-6855-01	TCGA-F4-6855-01	true
TCGA-F4-6856-01	TCGA-F4-6856-01	true
TCGA-F4-6857-01	TCGA-F4-6857-01	true
TCGA-G4-6294-01	TCGA-G4-6294-01	true
TCGA-G4-6297-01	TCGA-G4-6297-01	true
TCGA-G4-6314-01	TCGA-G4-6314-01	true
TCGA-G4-6320-01	TCGA-G4-6320-01	true
TCGA-G4-6323-01	TCGA-G4-6323-01	true
TCGA-G4-6625-01	TCGA-G4-6625-01	true
TCGA-A6-2675-01	TCGA-A6-2675-01	false
TCGA-A6-5656-01	TCGA-A6-5656-01	false
TCGA-A6-5660-01	TCGA-A6-5660-01	false
TCGA-A6-5661-01	TCGA-A6-5661-01	false
TCGA-A6-5665-01	TCGA-A6-5665-01	false
TCGA-A6-5667-01	TCGA-A6-5667-01	false
TCGA-A6-6137-01	TCGA-A6-6137-01	false
TCGA-A6-6140-01	TCGA-A6-6140-01	false
TCGA-A6-6142-01	TCGA-A6-6142-01	false
TCGA-A6-6648-01	TCGA-A6-6648-01	false
TCGA-A6-6649-01	TCGA-A6-6649-01	false
TCGA-A6-6651-01	TCGA-A6-6651-01	false
TCGA-A6-6652-01	TCGA-A6-6652-01	false
TCGA-A6-6780-01	TCGA-A6-6780-01	false
TCGA-A6-6781-01	TCGA-A6-6781-01	false
TCGA-A6-6782-01	TCGA-A6-6782-01	false
TCGA-AA-3489-01	TCGA-AA-3489-01	false
TCGA-AA-3492-01	TCGA-AA-3492-01	false
TCGA-AA-3662-01	TCGA-AA-3662-01	false
TCGA-AA-3697-01	TCGA-AA-3697-01	false
TCGA-AA-3712-01	TCGA-AA-3712-01	false
TCGA-AA-3713-01	TCGA-AA-3713-01	false
TCGA-AD-6888-01	TCGA-AD-6888-01	false
TCGA-AD-6889-01	TCGA-AD-6889-01	false
TCGA-AD-6890-01	TCGA-AD-6890-01	false
TCGA-AD-6899-01	TCGA-AD-6899-01	false
TCGA-AD-6963-01	TCGA-AD-6963-01	false
TCGA-AM-5820-01	TCGA-AM-5820-01	false
TCGA-AU-3779-01	TCGA-AU-3779-01	false
TCGA-AU-6004-01	TCGA-AU-6004-01	false
TCGA-AY-6196-01	TCGA-AY-6196-01	false
TCGA-AY-6197-01	TCGA-AY-6197-01	false
TCGA-AZ-4323-01	TCGA-AZ-4323-01	false
TCGA-AZ-4615-01	TCGA-AZ-4615-01	false
TCGA-AZ-4682-01	TCGA-AZ-4682-01	false
TCGA-AZ-5403-01	TCGA-AZ-5403-01	false
TCGA-AZ-6598-01	TCGA-AZ-6598-01	false
TCGA-AZ-6603-01	TCGA-AZ-6603-01	false
TCGA-AZ-6605-01	TCGA-AZ-6605-01	false
TCGA-AZ-6607-01	TCGA-AZ-6607-01	false
TCGA-CA-5797-01	TCGA-CA-5797-01	false
TCGA-CA-6717-01	TCGA-CA-6717-01	false
TCGA-CA-6719-01	TCGA-CA-6719-01	false
TCGA-CK-4952-01	TCGA-CK-4952-01	false
TCGA-CK-5912-01	TCGA-CK-5912-01	false
TCGA-CK-5913-01	TCGA-CK-5913-01	false
TCGA-CK-5914-01	TCGA-CK-5914-01	false
TCGA-CK-5915-01	TCGA-CK-5915-01	false
TCGA-CK-5916-01	TCGA-CK-5916-01	false
TCGA-CM-4743-01	TCGA-CM-4743-01	false
TCGA-CM-5344-01	TCGA-CM-5344-01	false
TCGA-CM-5348-01	TCGA-CM-5348-01	false
TCGA-CM-5349-01	TCGA-CM-5349-01	false
TCGA-CM-5860-01	TCGA-CM-5860-01	false
TCGA-CM-5861-01	TCGA-CM-5861-01	false
TCGA-CM-5862-01	TCGA-CM-5862-01	false
TCGA-CM-5864-01	TCGA-CM-5864-01	false
TCGA-CM-5868-01	TCGA-CM-5868-01	false
TCGA-CM-6161-01	TCGA-CM-6161-01	false
TCGA-CM-6162-01	TCGA-CM-6162-01	false
TCGA-CM-6163-01	TCGA-CM-6163-01	false
TCGA-CM-6165-01	TCGA-CM-6165-01	false
TCGA-CM-6169-01	TCGA-CM-6169-01	false
TCGA-CM-6170-01	TCGA-CM-6170-01	false
TCGA-CM-6171-01	TCGA-CM-6171-01	false
TCGA-CM-6172-01	TCGA-CM-6172-01	false
TCGA-CM-6675-01	TCGA-CM-6675-01	false
TCGA-CM-6676-01	TCGA-CM-6676-01	false
TCGA-CM-6677-01	TCGA-CM-6677-01	false
TCGA-CM-6679-01	TCGA-CM-6679-01	false
TCGA-CM-6680-01	TCGA-CM-6680-01	false
TCGA-D5-5541-01	TCGA-D5-5541-01	false
TCGA-D5-6533-01	TCGA-D5-6533-01	false
TCGA-D5-6534-01	TCGA-D5-6534-01	false
TCGA-D5-6540-01	TCGA-D5-6540-01	false
TCGA-D5-6898-01	TCGA-D5-6898-01	false
TCGA-D5-6920-01	TCGA-D5-6920-01	false
TCGA-D5-6922-01	TCGA-D5-6922-01	false
TCGA-D5-6924-01	TCGA-D5-6924-01	false
TCGA-D5-6926-01	TCGA-D5-6926-01	false
TCGA-D5-6928-01	TCGA-D5-6928-01	false
TCGA-D5-6929-01	TCGA-D5-6929-01	false
TCGA-D5-6930-01	TCGA-D5-6930-01	false
TCGA-DM-A0XF-01	TCGA-DM-A0XF-01	false
TCGA-DM-A1DA-01	TCGA-DM-A1DA-01	false
TCGA-DM-A1DB-01	TCGA-DM-A1DB-01	false
TCGA-DM-A28C-01	TCGA-DM-A28C-01	false
TCGA-DM-A28E-01	TCGA-DM-A28E-01	false
TCGA-DM-A28F-01	TCGA-DM-A28F-01	false
TCGA-DM-A28H-01	TCGA-DM-A28H-01	false
TCGA-F4-6459-01	TCGA-F4-6459-01	false
TCGA-F4-6460-01	TCGA-F4-6460-01	false
TCGA-F4-6463-01	TCGA-F4-6463-01	false
TCGA-F4-6569-01	TCGA-F4-6569-01	false
TCGA-F4-6570-01	TCGA-F4-6570-01	false
TCGA-F4-6704-01	TCGA-F4-6704-01	false
TCGA-F4-6808-01	TCGA-F4-6808-01	false
TCGA-F4-6809-01	TCGA-F4-6809-01	false
TCGA-G4-6293-01	TCGA-G4-6293-01	false
TCGA-G4-6295-01	TCGA-G4-6295-01	false
TCGA-G4-6298-01	TCGA-G4-6298-01	false
TCGA-G4-6299-01	TCGA-G4-6299-01	false
TCGA-G4-6302-01	TCGA-G4-6302-01	false
TCGA-G4-6303-01	TCGA-G4-6303-01	false
TCGA-G4-6304-01	TCGA-G4-6304-01	false
TCGA-G4-6306-01	TCGA-G4-6306-01	false
TCGA-G4-6307-01	TCGA-G4-6307-01	false
TCGA-G4-6309-01	TCGA-G4-6309-01	false
TCGA-G4-6310-01	TCGA-G4-6310-01	false
TCGA-G4-6311-01	TCGA-G4-6311-01	false
TCGA-G4-6315-01	TCGA-G4-6315-01	false
TCGA-G4-6317-01	TCGA-G4-6317-01	false
TCGA-G4-6321-01	TCGA-G4-6321-01	false
TCGA-G4-6322-01	TCGA-G4-6322-01	false
TCGA-G4-6586-01	TCGA-G4-6586-01	false
TCGA-G4-6588-01	TCGA-G4-6588-01	false
TCGA-G4-6626-01	TCGA-G4-6626-01	false
TCGA-G4-6628-01	TCGA-G4-6628-01	false